título_2013;links_2013;autores_2013;code_area;area;id_doc
CONTINUIDADE OU RUPTURA? UMA ANÁLISE DE ALGUNS ASPECTOS DA FILOSOFIA SOCIAL E ECONÔMICA DE J.S.MILL, ALFRED MARSHALL E J.M.KEYNES ;http://www.anpec.org.br/encontro/2013/files_I/i1-6de768cb7e0ecb016884259e0417987b.doc;LAURA VALLADÃO DE MATTOS;i1;Área 1 - História do pensamento econômico e metodologia;doc1
"A ""NATUREZA HUMANA"" DO COMPORTAMENTO INDIVIDUAL NOS PRIMÓRDIOS DO PENSAMENTO ECONÔMICO: UMA COMPARAÇÃO ENTRE HUME, SMITH E BENTHAM.";http://www.anpec.org.br/encontro/2013/files_I/i1-b1feaf3fb578691df6ac804eaae37106.pdf;GLAUCIA CAMPREGHER;i1;Área 1 - História do pensamento econômico e metodologia;doc2
REACHING A BROADER AUDIENCE: SIMONSEN’S INTERNATIONAL CAREER;http://www.anpec.org.br/encontro/2013/files_I/i1-c9e70adba161e3ecfa5e52b45bb92d62.docx;ANDREA FELIPPE CABELLO;i1;Área 1 - História do pensamento econômico e metodologia;doc3
ROBERTO SIMONSEN E O TRATADO COMERCIAL BRASIL-ESTADOS UNIDOS DE 1935: IDEIAS ECONÔMICAS E PARTICIPAÇÃO POLÍTICA;http://www.anpec.org.br/encontro/2013/files_I/i1-ee61cde186d7b9eed671a0d5524864bf.pdf;LUIZ FELIPE BRUZZI CURI;i1;Área 1 - História do pensamento econômico e metodologia;doc4
UM ESTUDO DO DISCURSO DOUTRINÁRIO DE ROBERT E. LUCAS JR. MÉTODO E HISTÓRIA DAS IDEIAS ACERCA DAS ANÁLISES DE CICLOS ECONÔMICOS;http://www.anpec.org.br/encontro/2013/files_I/i1-c84d94940afb957fc02472119c424f90.pdf;ALEXANDRE FLÁVIO SILVA ANDRADA;i1;Área 1 - História do pensamento econômico e metodologia;doc5
ARGUMENTS ON NOM-METALLIC MONEY (1650-1750);http://www.anpec.org.br/encontro/2013/files_I/i1-a0fd7f3bbf48efe0007f0e9c1dacd2e7.pdf;MAURICIO C. COUTINHO;i1;Área 1 - História do pensamento econômico e metodologia;doc6
HUME, SMITH E AS ETAPAS DA SOCIEDADE COMERCIAL;http://www.anpec.org.br/encontro/2013/files_I/i1-e0540dc9b8152f862de568ad2eb5b98a.pdf;ROGÉRIO ARTHMAR;i1;Área 1 - História do pensamento econômico e metodologia;doc7
A PSYCHOLOGICAL PERSPECTIVE OF KEYNES’S APPROACH TO DECISION-MAKING;http://www.anpec.org.br/encontro/2013/files_I/i1-f10190b561d1d0f080e0a38e12eeb856.pdf;FELIPE ALMEIDA;i1;Área 1 - História do pensamento econômico e metodologia;doc8
LUCAS’S EARLY RESEARCH IN THE 1960’S;http://www.anpec.org.br/encontro/2013/files_I/i1-20ea476553109784cb4c6895fd604f56.pdf;DANILO FREITAS RAMALHO DA SILVA;i1;Área 1 - História do pensamento econômico e metodologia;doc9
MIT GRADUATE NETWORKS: THE EARLY YEARS;http://www.anpec.org.br/encontro/2013/files_I/i1-eeda21ff36af021414f41b57f317dcb2.pdf;PEDRO GARCIA DUARTE;i1;Área 1 - História do pensamento econômico e metodologia;doc10
