título_2015;links_2015;autores;code_area;area;id_doc
A ASCENSÃO DA CHINA E A CONTESTAÇÃO DO DÓLAR APÓS A CRISE FINANCEIRA GLOBAL ;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-db657db014e3a564f5a9573d3bd37137.pdf;;i7;Área 7 - Economia internacional;doc1
A INSTABILIDADE FINANCEIRA NA ZONA DO EURO E A CRISE DOS PIIGS (2008-2013): UMA ABORDAGEM MINSKIANA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-50f753ce7889d04f4ed6c4a9bb94bd15.pdf;;i7;Área 7 - Economia internacional;doc2
A LEI DODD-FRANK, A REGULAÇÃO FINANCEIRA INTERNACIONAL E A LIBERALIZAÇÃO DOS SERVIÇOS FINANCEIROS NOS FÓRUNS COMERCIAIS INTERNACIONAIS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-6f5bd5ca8226d80056d7393f7a052c8c.pdf;;i7;Área 7 - Economia internacional;doc3
AVALIAÇÃO EMPÍRICA DO TEOREMA DA PARIDADE COBERTA PARA A ECONOMIA BRASILEIRA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-330c3c2fc697f72e1ca693d46bf21657.docx;;i7;Área 7 - Economia internacional;doc4
BUREAUCRACY, EXTERNAL TRADE AND LONG-TERM GROWTH IN A BALANCE-OF-PAYMENTS CONSTRAINED GROWTH MODEL ;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-d1331534879a05a6c77c12a6751ebd52.pdf;;i7;Área 7 - Economia internacional;doc5
COMÉRCIO INTERNACIONAL, POBREZA E DESIGUALDADE DE RENDA: UMA ANÁLISE PARA OS MUNICÍPIOS BRASILEIROS DE 2000 A 2010;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-b1de9ab5a450cb764649556025682dec.doc;;i7;Área 7 - Economia internacional;doc6
EVALUATING THE EFFECT OF EXCHANGE RATE AND LABOR PRODUCTIVITY ON IMPORTS PENETRATION OF BRAZILIAN MANUFACTURING SECTORS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-37ef291e5c6408a8ae483623d8c4a5fb.pdf;;i7;Área 7 - Economia internacional;doc7
FINANCIAL FLOWS TO EMERGING ECONOMIES AND POLICY ALTERNATIVES IN POST-2008;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-a33a1f20221ef991505345a27d7b7b3a.pdf;;i7;Área 7 - Economia internacional;doc8
HETEROGENEIDADE INSTITUCIONAL E O INGRESSO DE INVESTIMENTO DIRETO ESTRANGEIRO NA ECONOMIA BRASILEIRA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-61fec00cfcec979ca996cdc40d6f5b9b.pdf;;i7;Área 7 - Economia internacional;doc9
O CIRCUITO FINANCE-INVESTIMENTO-POUPANÇA-FUNDING NA ECONOMIA ABERTA E COM GOVERNO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-1c77958d2eb0abe7aa5b4ccebf0eba1e.docx;;i7;Área 7 - Economia internacional;doc10
O MODELO DE GRAVIDADE E O EFEITO FRONTEIRA: UMA ANÁLISE DO COMÉRCIO DO ESTADO DO RIO GRANDE DO SUL COM OS PAÍSES DO BRICS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-86944c705666ba61fded9ee1ef7e6760.pdf;;i7;Área 7 - Economia internacional;doc11
