título_2017;links_2017;autores_2017;code_area;area
A LEITURA INSTITUCIONALISTA DA ESCOLA CLÁSSICA A PARTIR DE UMA CONTRAPOSIÇÃO ENTRE OS PARADIGMAS NEWTONIANO E EVOLUCIONÁRIO;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-365b33816dabd22481ce257e517ff8c1.docx;FERNANDO CAVALHEIRO KRAUZER (UFSM);i1;Área 1 - História do Pensamento Econômico e Metodologia
COAST TO COAST: HOW MIT’S STUDENTS LINKED THE SOLOW MODEL AND OPTIMUM GROWTH THEORY;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-e20e34f847cfb06f6f06622e3492cc21.docx;MATHEUS ASSAF (USP/IPE);i1;Área 1 - História do Pensamento Econômico e Metodologia
CORRELATING MARX AND THE EARLY MARGINALISTS: A SPECULATIVE REALIST READING;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-045b55903d177f8d64c3dc65ca86b3fb.pdf;EMMANOEL DE OLIVEIRA BOFF (UFF);i1;Área 1 - História do Pensamento Econômico e Metodologia
FRIEDRICH LIST AND THE INFLUENCE OF GERMAN HISTORICAL SCHOOL ON THE ECONOMIC GROWTH OF ITALY AFTER THE UNIFICATION. ;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-4428dc1f912e27651b849cc0bc563de7.pdf;FLÁVIO DOS SANTOS OLIVEIRA (UFES) - GIOVANNI FAVERO (CA' FOSCARI UNIVERSITÀ DI VENEZIA);i1;Área 1 - História do Pensamento Econômico e Metodologia
O ENCONTRO ENTRE DOUGLASS NORTH E CELSO FURTADO EM 1961;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-a470dc22b5feeddd4de69aedc5816e2c.pdf;LEONARDO MONASTERIO (IPEA) - MAURO BOIANOVSKY (UNB);i1;Área 1 - História do Pensamento Econômico e Metodologia
OS DEBATES METODOLÓGICOS NA INGLATERRA NAS DÉCADAS DE 1870 E 1880: O DESAFIO HISTORICISTA À ECONOMIA POLÍTICA;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-471955598101f68f8534fcbfd49b568c.pdf;LAURA VALLADÃO DE MATTOS (USP/IPE);i1;Área 1 - História do Pensamento Econômico e Metodologia
PIGOU, THE PRESS AND THE BATTLE FOR PEACE DURING WORLD WAR ONE;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-026e25a1e2ca1b2f2add932b75dfab4a.pdf;ROGÉRIO ARTHMAR (UFES) - MICHAEL MCLURE (UNIVERSITY OF WESTERN AUSTRALIA);i1;Área 1 - História do Pensamento Econômico e Metodologia
RAZÃO, CIENTIFICISMO E METODOLOGIA: A ADESÃO DE HAYEK À COMPLEXIDADE A PARTIR DO DESENVOLVIMENTO DE SUA CRÍTICA METODOLÓGICA NO ABUSE OF REASON PROJECT;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-c5fb7c9bddc4a444e0467c47f4353e74.pdf;KEANU TELLES (UFPR) - EDUARDO ANGELI (UFPR);i1;Área 1 - História do Pensamento Econômico e Metodologia
THE DISPUTE BETWEEN THE PHILLIPS CURVE AND THE INERTIALIST ANALISYS IN THE FORMULATION OF BRAZILIAN INFLATION THEORIES DURING THE 1970S-1980S.;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-551c31a0a1076e9ce2f8ec5d35a69824.pdf;JÉSSICA GESIENE NASCIMENTO (UFABC) - RAMÓN VICENTE GARCIA FERNANDEZ  (UFABC) - DANILO FREITAS RAMALHO DA SILVA (UFABC);i1;Área 1 - História do Pensamento Econômico e Metodologia
THE DOUBLE EDGE OF CASE-STUDIES: A FRAME-BASED DEFINITION OF ECONOMIC MODELS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-2053fcf2db5abae0b877c5962b7f6243.pdf;ARTHUR BRACKMANN NETTO (USP/FEA);i1;Área 1 - História do Pensamento Econômico e Metodologia
THE INTRODUCTION OF RATIONAL EXPECTATIONS INTO MACROECONOMICS IN THE 1970’S: REASONABLENESS VERSUS OPERATIONALITY OF THE HYPOTHESIS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-478b4765d95ac0d6b67a273c6820706e.pdf;DANILO FREITAS RAMALHO DA SILVA (UFABC);i1;Área 1 - História do Pensamento Econômico e Metodologia
UNDERSTANDING CLARENCE AYRES THROUGH THE 1930S AYRES-KNIGHT DEBATE;https://www.anpec.org.br/encontro/2017/submissao/files_I/i1-95809f2da70e147bde4b3ed9582ad0f8.pdf;FELIPE ALMEIDA (UFPR) - MARCO CAVALIERI (UFPR);i1;Área 1 - História do Pensamento Econômico e Metodologia
A TEORIA MARXISTA DAS CRISES CÍCLICAS DE SUPERPRODUÇÃO: UMA MODIFICAÇÃO DA INTERPRETAÇÃO MENDONÇA-RIBEIRO;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-590006ebaf7d8db4103ce96226205681.pdf;ANTONIO CARNEIRO DE ALMEIDA JÚNIOR (UFPB);i2;Área 2 - Economia Política
BRAZIL AT CROSSROADS: A CRITICAL ASSESSMENT OF DEVELOPMENTALIST POLICIES IN PT GOVERNMENTS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-325e3c47e3224d6d1174493a8868ffbf.pdf;LUIZ FERNANDO DE PAULA (UERJ) - DANIELA M. PRATES (IE/UNICAMP) - BARBARA FRITZ (FREIE UNIVERSITÄT BERLIN);i2;Área 2 - Economia Política
BRAZILIAN FISCAL POLICY IN PERSPECTIVE: FROM EXPANSION TO AUSTERITY;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-f2c2c122fe499a3f9fbb7eeef5e632f7.pdf;RODRIGO OCTÁVIO ORAIR (IPEA) - SERGIO WULFF GOBETTI (IPEA);i2;Área 2 - Economia Política
ESTADO E CAPITAL EM UMA CHINA COM CLASSES;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-0ede8a83e7eb13b330b10a82406cb14e.pdf;ISABELA NOGUEIRA DE MORAIS (UFRJ/IE);i2;Área 2 - Economia Política
LUCRO, TAXA E TENDÊNCIA NOS MANUSCRITOS INÉDITOS DE O CAPITAL;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-9c9d0edac4a8d0346c74f2ddabca76e8.docx;LEONARDO GOMES DE DEUS (UFMG) - BOVICK WANDJA YEMBA (UFMG) - LUCIEN ANDRÉ REGNAULT MARQUES (UFMG);i2;Área 2 - Economia Política
MERCADO MUNDIAL, DINHEIRO MUNDIAL E MOEDA INCONVERSÍVEL: NOTAS MARXISTAS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-0fbef4e4f2706be9f4e2c47903178bbf.docx;FLÁVIO FERREIRA DE MIRANDA (UFRRJ);i2;Área 2 - Economia Política
